object_type,schema_name,grantee,privilege_type,row_count
column,realtime,anon,INSERT,8
column,realtime,anon,UPDATE,8
column,realtime,authenticated,INSERT,8
column,realtime,authenticated,UPDATE,8
column,storage,anon,INSERT,36
column,storage,anon,REFERENCES,36
column,storage,anon,UPDATE,36
column,storage,authenticated,INSERT,36
column,storage,authenticated,REFERENCES,36
column,storage,authenticated,UPDATE,36
column,supabase_functions,anon,INSERT,7
column,supabase_functions,anon,REFERENCES,7
column,supabase_functions,anon,UPDATE,7
column,supabase_functions,authenticated,INSERT,7
column,supabase_functions,authenticated,REFERENCES,7
column,supabase_functions,authenticated,UPDATE,7
sequence,graphql,anon,UPDATE,1
sequence,graphql,authenticated,UPDATE,1
sequence,net,PUBLIC,UPDATE,1
sequence,supabase_functions,anon,UPDATE,1
sequence,supabase_functions,authenticated,UPDATE,1
table,net,PUBLIC,DELETE,2
table,net,PUBLIC,INSERT,2
table,net,PUBLIC,REFERENCES,2
table,net,PUBLIC,TRIGGER,2
table,net,PUBLIC,TRUNCATE,2
table,net,PUBLIC,UPDATE,2
table,realtime,anon,INSERT,1
table,realtime,anon,UPDATE,1
table,realtime,authenticated,INSERT,1
table,realtime,authenticated,UPDATE,1
table,storage,anon,DELETE,4
table,storage,anon,INSERT,4
table,storage,anon,REFERENCES,4
table,storage,anon,TRIGGER,4
table,storage,anon,TRUNCATE,4
table,storage,anon,UPDATE,4
table,storage,authenticated,DELETE,4
table,storage,authenticated,INSERT,4
table,storage,authenticated,REFERENCES,4
table,storage,authenticated,TRIGGER,4
table,storage,authenticated,TRUNCATE,4
table,storage,authenticated,UPDATE,4
table,supabase_functions,anon,DELETE,2
table,supabase_functions,anon,INSERT,2
table,supabase_functions,anon,REFERENCES,2
table,supabase_functions,anon,TRIGGER,2
table,supabase_functions,anon,TRUNCATE,2
table,supabase_functions,anon,UPDATE,2
table,supabase_functions,authenticated,DELETE,2
table,supabase_functions,authenticated,INSERT,2
table,supabase_functions,authenticated,REFERENCES,2
table,supabase_functions,authenticated,TRIGGER,2
table,supabase_functions,authenticated,TRUNCATE,2
table,supabase_functions,authenticated,UPDATE,2
