schema_name,function_name,identity_args,referenced_in_policies,referenced_in_views,referenced_in_triggers
public,admin_add_venue_owner,"p_venue_id uuid, p_user_id uuid, p_role text",f,f,f
public,admin_add_venue_photo,"p_venue_id uuid, p_image_path text, p_caption text",f,f,f
public,admin_clear_moderation_status,"p_user_id uuid, p_reason text",f,f,f
public,admin_create_venue_event,"p_venue_id uuid, p_title text, p_event_type text, p_starts_at timestamp with time zone, p_ends_at timestamp with time zone, p_description text, p_ticket_info text, p_website_url text, p_booking_url text, p_is_published boolean",f,f,f
public,admin_create_venue_opening_hour,"p_venue_id uuid, p_label text, p_day_of_week smallint, p_opens_at time without time zone, p_closes_at time without time zone, p_is_closed boolean, p_order_index integer",f,f,f
public,admin_create_venue_pricing_tier,"p_venue_id uuid, p_label text, p_price text, p_unit text, p_audience venue_pricing_audience, p_order_index integer",f,f,f
public,admin_create_venue_species_stock,"p_venue_id uuid, p_species_name text, p_record_weight numeric, p_record_unit text, p_avg_weight numeric, p_size_range_min numeric, p_size_range_max numeric, p_stock_density venue_stock_density, p_stock_notes text",f,f,f
public,admin_delete_account,"p_target uuid, p_reason text",f,f,f
public,admin_delete_catch,"p_catch_id uuid, p_reason text",f,f,f
public,admin_delete_comment,"p_comment_id uuid, p_reason text",f,f,f
public,admin_delete_venue_event,p_event_id uuid,f,f,f
public,admin_delete_venue_opening_hour,p_id uuid,f,f,f
public,admin_delete_venue_photo,p_id uuid,f,f,f
public,admin_delete_venue_pricing_tier,p_id uuid,f,f,f
public,admin_delete_venue_species_stock,p_id uuid,f,f,f
public,admin_get_venue_by_slug,p_slug text,f,f,f
public,admin_get_venue_events,p_venue_id uuid,f,f,f
public,admin_get_venues,"p_search text, p_limit integer, p_offset integer",f,f,f
public,admin_list_moderation_log,"p_user_id uuid, p_action text, p_search text, p_from timestamp with time zone, p_to timestamp with time zone, p_sort_direction text, p_limit integer, p_offset integer",f,f,f
public,admin_list_reports,"p_status text, p_type text, p_reported_user_id uuid, p_from timestamp with time zone, p_to timestamp with time zone, p_sort_direction text, p_limit integer, p_offset integer",f,f,f
public,admin_remove_venue_owner,"p_venue_id uuid, p_user_id uuid",f,f,f
public,admin_restore_catch,"p_catch_id uuid, p_reason text",f,f,f
public,admin_restore_comment,"p_comment_id uuid, p_reason text",f,f,f
